date,None,D0,D1,D2,D3,D4,precip,temp,pdsi,MH_water_level,S_water_level
2019-10-01,95.192,4.808,0.3,0.0,0.0,0.0,5.54,47.5,4.85,177.28,183.88
2019-11-01,100.0,0.0,0.0,0.0,0.0,0.0,2.69,30.8,5.09,177.26,183.81
2019-12-01,100.0,0.0,0.0,0.0,0.0,0.0,3.42,28.4,5.6,177.24,183.74
2020-01-01,100.0,0.0,0.0,0.0,0.0,0.0,2.84,27.0,5.8,177.26,183.71
2020-02-01,100.0,0.0,0.0,0.0,0.0,0.0,1.03,23.7,4.86,177.24,183.64
2020-03-01,100.0,0.0,0.0,0.0,0.0,0.0,2.83,35.0,4.74,177.22,183.57
2020-04-01,96.53,3.47,0.0,0.0,0.0,0.0,3.01,40.2,4.66,177.29,183.62
2020-05-01,97.675,2.325,0.0,0.0,0.0,0.0,4.06,53.2,4.82,177.37,183.64
2020-06-01,98.264,1.736,0.0,0.0,0.0,0.0,3.09,66.0,4.01,177.44,183.7
2020-07-01,62.645,37.355,4.095,0.0,0.0,0.0,3.93,72.5,4.02,177.45,183.76
2020-08-01,71.455,28.545,3.7175,0.0,0.0,0.0,3.83,68.6,3.81,177.42,183.81
2020-09-01,78.846,21.154,1.7559999999999998,0.0,0.0,0.0,3.08,58.2,3.23,177.34,183.79
2020-10-01,73.59,26.41,1.19,0.0,0.0,0.0,3.75,44.4,3.57,177.25,183.76
2020-11-01,79.825,20.175,0.185,0.0,0.0,0.0,2.17,41.1,-0.22,177.2,183.71
2020-12-01,86.282,13.718,0.0,0.0,0.0,0.0,1.69,28.6,-0.26,177.14,183.63
2021-01-01,83.185,16.814999999999998,0.0,0.0,0.0,0.0,1.05,25.0,-0.7,177.06,183.54
2021-02-01,66.0825,33.917500000000004,0.0,0.0,0.0,0.0,1.28,17.4,-0.78,176.99,183.46
2021-03-01,20.61,79.39,8.459999999999999,0.0,0.0,0.0,1.6,36.8,-1.29,176.94,183.42
